Pradiniai duomenys:
#    | Name            | Year  | Grade | Hash
---------------------------------------------------------------------------------------------------------
92   | Lynea           | 3     | 8.84  | 
93   | Sabina          | 3     | 9.19  | 
94   | Millie          | 2     | 8.27  | 
95   | June            | 3     | 9.59  | 
96   | Ada             | 3     | 8.64  | 
97   | Concettina      | 2     | 7.07  | 
98   | Dominga         | 4     | 8.21  | 
99   | Donetta         | 2     | 8.54  | 
100  | Millie          | 4     | 7.41  | 
101  | Dania           | 3     | 7.31  | 
102  | Fawne           | 1     | 7.53  | 
103  | Georgina        | 1     | 8.82  | 
104  | Bobinette       | 3     | 7.53  | 
105  | Tori            | 4     | 8.31  | 
106  | Vita            | 2     | 8.76  | 
107  | Ethel           | 3     | 7.21  | 
108  | Alameda         | 4     | 7.16  | 
109  | Libbie          | 2     | 8.56  | 
110  | Lacie           | 4     | 9.32  | 
111  | Chandra         | 2     | 7.9   | 
112  | Marika          | 3     | 9.4   | 
113  | Cordi           | 4     | 8.92  | 
114  | Dacia           | 2     | 8.92  | 
115  | Raf             | 2     | 8.25  | 
116  | Jillayne        | 4     | 8.53  | 
117  | Rhoda           | 1     | 9.72  | 
118  | Berget          | 3     | 7.24  | 
119  | Nannie          | 3     | 8.41  | 
120  | Gerrie          | 4     | 9.72  | 
121  | Averyl          | 1     | 8.29  | 
122  | Yvonne          | 4     | 8.51  | 
123  | Betta           | 4     | 9.92  | 
124  | Codie           | 3     | 9.63  | 
125  | Dode            | 3     | 9.09  | 
126  | Viki            | 2     | 9.91  | 
127  | Mellicent       | 3     | 9.1   | 
128  | Trixi           | 4     | 9.52  | 
129  | Penelopa        | 1     | 7.03  | 
130  | Celene          | 3     | 8.23  | 
131  | Netty           | 1     | 8.21  | 
132  | Shirlee         | 2     | 9.69  | 
133  | Dianemarie      | 2     | 9.84  | 
134  | Binny           | 4     | 9.02  | 
135  | Cathyleen       | 4     | 9.05  | 
136  | Calla           | 4     | 7.04  | 
137  | Lanna           | 4     | 7.84  | 
138  | Rayna           | 4     | 7.05  | 
139  | Nananne         | 3     | 7.27  | 
140  | Susette         | 1     | 9.41  | 
141  | Rochette        | 2     | 7.2   | 
142  | Maryellen       | 4     | 9.61  | 
143  | Carree          | 2     | 7.72  | 
144  | Lolita          | 4     | 8.26  | 
145  | Averyl          | 2     | 9.18  | 
146  | Karolina        | 3     | 9.24  | 
147  | Nadine          | 1     | 7.26  | 
148  | Lorie           | 4     | 9.12  | 
149  | Leeanne         | 3     | 9.47  | 
150  | Adore           | 2     | 7.82  | 
151  | Agnese          | 4     | 8.82  | 
152  | Judy            | 2     | 7.67  | 
153  | Charlena        | 1     | 9.79  | 
154  | Elise           | 1     | 7.96  | 
155  | Lolita          | 1     | 8.13  | 
156  | Emelina         | 2     | 8.51  | 
157  | Katuscha        | 3     | 8.29  | 
158  | Rebeca          | 1     | 9.2   | 
159  | Marita          | 4     | 9.92  | 
160  | Diena           | 2     | 8.25  | 
161  | Zia             | 3     | 7.44  | 
162  | Mahalia         | 3     | 9.34  | 
163  | Lucy            | 4     | 7.76  | 
164  | Latisha         | 3     | 7.38  | 
165  | Dennie          | 4     | 8.07  | 
166  | Darlleen        | 4     | 9.47  | 
167  | Kalina          | 3     | 9.26  | 
168  | Tomasina        | 4     | 7.09  | 
169  | Nananne         | 3     | 7.9   | 
170  | Aigneis         | 2     | 9.21  | 
171  | Magdalena       | 3     | 7.07  | 
172  | Georgetta       | 1     | 7.38  | 
173  | Jillayne        | 3     | 9.46  | 
174  | Berget          | 2     | 7.54  | 
175  | Lexine          | 2     | 7.23  | 
176  | Hallie          | 3     | 8.82  | 
177  | Max             | 2     | 7.54  | 
178  | Berget          | 2     | 8.92  | 
179  | Edith           | 2     | 8.41  | 
180  | Laure           | 1     | 7.36  | 
181  | Vere            | 3     | 7.13  | 
182  | Addia           | 4     | 9.21  | 
183  | Vevay           | 2     | 9.99  | 
184  | Melina          | 3     | 8.06  | 
185  | Dorthy          | 4     | 7.72  | 
186  | Tonia           | 2     | 8.53  | 
187  | Pierette        | 3     | 8.97  | 
188  | Althea          | 2     | 9.9   | 
189  | Sherrie         | 2     | 8.74  | 
190  | Cindelyn        | 1     | 9.24  | 
191  | Emilia          | 4     | 8.2   | 
192  | Ida             | 2     | 8.7   | 
193  | Zsa Zsa         | 4     | 7.34  | 
194  | Wanda           | 2     | 8.59  | 
195  | Arlena          | 2     | 9.87  | 
196  | Fina            | 3     | 8.05  | 
197  | Ernesta         | 1     | 9.51  | 
198  | Ivett           | 1     | 9.88  | 
199  | Rubie           | 1     | 8.41  | 
200  | Ariela          | 1     | 8.64  | 
201  | Randa           | 3     | 7.01  | 
202  | Quintina        | 2     | 7.06  | 
203  | Aaren           | 3     | 8.89  | 
204  | Allyce          | 1     | 8.77  | 
205  | Aubrie          | 1     | 8.43  | 
206  | Gwenneth        | 3     | 9.88  | 
207  | Clementine      | 4     | 9.96  | 
208  | Fayre           | 3     | 7.21  | 
209  | Sara-Ann        | 2     | 9.71  | 
210  | Deane           | 2     | 9.09  | 
211  | Jessamyn        | 3     | 8.65  | 
212  | Shaylyn         | 2     | 8.43  | 
213  | Linet           | 3     | 9.93  | 
214  | Cristine        | 2     | 8.08  | 
215  | Ira             | 1     | 9.17  | 
216  | Marita          | 4     | 9.36  | 
217  | Debee           | 3     | 9.16  | 
218  | Beatriz         | 1     | 7.56  | 
219  | Sindee          | 4     | 9.03  | 
220  | Tierney         | 4     | 9.16  | 
221  | Jerry           | 1     | 8.57  | 
222  | Brandise        | 4     | 9.18  | 
223  | Carly           | 4     | 7.12  | 
224  | Fanchon         | 1     | 7.24  | 
225  | Andree          | 4     | 8.93  | 
226  | Codie           | 2     | 8.09  | 
227  | Ileana          | 2     | 9.63  | 
228  | Lulita          | 2     | 7.52  | 
229  | Joane           | 1     | 9.6   | 
230  | Lyssa           | 4     | 9.13  | 
231  | Gavrielle       | 2     | 8.71  | 
232  | Alexine         | 4     | 9.87  | 
233  | Carlie          | 4     | 7.17  | 
234  | Deloria         | 1     | 7.83  | 
235  | Kellen          | 4     | 8.8   | 
236  | Maud            | 1     | 9.89  | 
237  | Cassandra       | 1     | 7.18  | 
238  | Hettie          | 4     | 8.66  | 
239  | Melina          | 4     | 9.38  | 
240  | Dorice          | 4     | 8.83  | 
241  | Minne           | 4     | 9.35  | 
242  | Blake           | 3     | 8.38  | 
243  | Shell           | 4     | 7.67  | 
244  | Carol-Jean      | 3     | 7.5   | 
245  | Cherrita        | 1     | 9.59  | 
246  | Nollie          | 3     | 9.5   | 
247  | Ekaterina       | 4     | 9.25  | 
248  | Joy             | 2     | 9.83  | 
249  | Marguerite      | 3     | 7.49  | 
250  | Claudina        | 1     | 7.9   | 
251  | Aubrie          | 1     | 7.42  | 
252  | Jinny           | 2     | 8.26  | 
253  | Sharai          | 3     | 7.42  | 
254  | Ernesta         | 2     | 8.52  | 
255  | Regina          | 4     | 7.82  | 
256  | Annabela        | 3     | 8.39  | 
257  | Yolane          | 1     | 7.22  | 
258  | Lorne           | 1     | 7.29  | 
259  | Patricia        | 3     | 9.42  | 
260  | Binny           | 1     | 8.71  | 
261  | Sybille         | 1     | 8.61  | 
262  | Dianemarie      | 1     | 7.31  | 
263  | Brana           | 3     | 9.85  | 
264  | Corry           | 1     | 9.77  | 
265  | Marika          | 3     | 9.67  | 
266  | Wanda           | 1     | 9.35  | 
267  | Margarette      | 3     | 9.98  | 
268  | Sabina          | 1     | 8.88  | 
269  | Jaime           | 1     | 8.9   | 
270  | Gwenneth        | 2     | 8.35  | 
271  | Annice          | 1     | 7.27  | 
272  | Carmencita      | 4     | 7.58  | 
273  | Fina            | 4     | 8.28  | 
274  | Luci            | 1     | 7.22  | 
275  | Flo             | 3     | 8.69  | 
276  | Flory           | 3     | 7.95  | 
277  | Isa             | 4     | 7.45  | 
278  | Ninnetta        | 1     | 9.89  | 
279  | Veda            | 2     | 9.74  | 
280  | Kaia            | 2     | 8.98  | 
281  | Pierette        | 2     | 8.85  | 
282  | Linzy           | 3     | 8.27  | 
283  | Belinda         | 1     | 7.24  | 
284  | Philis          | 4     | 7.17  | 
285  | Tera            | 2     | 8.64  | 
286  | Flory           | 4     | 9.92  | 
287  | Celisse         | 4     | 8.37  | 
288  | Anica           | 3     | 7.35  | 
289  | Georgetta       | 4     | 8.27  | 
290  | Corene          | 4     | 8.56  | 
291  | Olwen           | 4     | 7.74  | 
292  | Teriann         | 4     | 7.26  | 
293  | Tani            | 3     | 7.77  | 
294  | Pollyanna       | 2     | 9.64  | 
295  | Addia           | 2     | 9.61  | 
296  | Lita            | 1     | 7     | 
297  | Lusa            | 2     | 9.72  | 
298  | Doralynne       | 1     | 7.39  | 
299  | Berget          | 1     | 7.21  | 
300  | Genevra         | 3     | 7.24  | 
301  | Candi           | 4     | 8.66  | 
302  | Silvana         | 4     | 7.57  | 
303  | Merle           | 2     | 7.26  | 
304  | Viki            | 1     | 8.12  | 
305  | Fidelia         | 3     | 8.09  | 
306  | Ivett           | 1     | 8.45  | 
307  | Joeann          | 4     | 8.88  | 
308  | Amara           | 4     | 9.55  | 
309  | Daryl           | 4     | 8.84  | 
310  | Viviene         | 3     | 7.88  | 
311  | Nonnah          | 4     | 8.8   | 
312  | Sarette         | 1     | 9.97  | 
313  | Cristine        | 4     | 8.62  | 
314  | Latisha         | 1     | 9.59  | 
315  | Philis          | 1     | 9.89  | 
316  | Anestassia      | 3     | 9.07  | 
317  | Shaine          | 2     | 9.1   | 
318  | Emylee          | 3     | 8.21  | 
319  | Kore            | 2     | 8.79  | 
320  | Dorene          | 2     | 9.51  | 
321  | Susan           | 1     | 7.67  | 
322  | Joelly          | 3     | 8.69  | 
323  | Lucy            | 1     | 8.61  | 
324  | Amelia          | 2     | 9.34  | 
325  | Vere            | 3     | 7.94  | 
326  | Fidelia         | 3     | 9.35  | 
327  | Ivett           | 3     | 9.36  | 
328  | Ebonee          | 4     | 9.09  | 
329  | Monika          | 4     | 7.27  | 
330  | Nariko          | 2     | 9.34  | 
331  | Jacenta         | 2     | 8.93  | 
332  | Sherrie         | 4     | 9.15  | 
333  | Fredericka      | 4     | 8.68  | 
334  | Myriam          | 2     | 9.26  | 
335  | Mamie           | 2     | 9.55  | 
336  | Charissa        | 1     | 9.99  | 
337  | Lynnea          | 1     | 9.27  | 
338  | Vivia           | 4     | 8.99  | 
339  | Veda            | 4     | 8.91  | 
340  | Stevana         | 3     | 9.39  | 
341  | Frank           | 4     | 8.51  | 
342  | Edyth           | 4     | 7.66  | 
343  | Perry           | 4     | 7.16  | 
344  | Albertina       | 3     | 8.3   | 
345  | Emelina         | 3     | 8.21  | 
346  | Tarra           | 3     | 8.47  | 
347  | Lelah           | 1     | 8.08  | 
348  | Meriel          | 4     | 7.68  | 
349  | Stevana         | 2     | 7.8   | 
350  | Laurene         | 4     | 7.39  | 
351  | Nannie          | 1     | 9.62  | 
352  | Mallory         | 4     | 8.87  | 
353  | Gertrud         | 1     | 9.2   | 
354  | Starla          | 3     | 9.03  | 
355  | Blake           | 3     | 8.36  | 
356  | Wileen          | 4     | 9.43  | 
357  | Priscilla       | 2     | 7.83  | 
358  | Mady            | 2     | 9.67  | 
359  | Shaine          | 2     | 9.08  | 
360  | Lizzie          | 3     | 9.2   | 
361  | Monika          | 2     | 9.12  | 
362  | Elfreda         | 2     | 7.71  | 
363  | Elie            | 3     | 8.28  | 
364  | Taffy           | 2     | 9.24  | 
365  | Daune           | 4     | 8.47  | 
366  | Elise           | 1     | 7.49  | 
367  | Coral           | 1     | 9.35  | 
368  | Alexine         | 4     | 7.11  | 
369  | Cristabel       | 3     | 9.37  | 
370  | Gusty           | 3     | 9.59  | 
371  | Anallese        | 1     | 7.19  | 
372  | Fanchon         | 2     | 8.14  | 
373  | Wendi           | 3     | 8.5   | 
374  | Iseabal         | 1     | 8.99  | 
375  | Vonny           | 2     | 9.02  | 
376  | Ulrike          | 4     | 9.86  | 
377  | Gratia          | 4     | 9.37  | 
378  | Odessa          | 3     | 7.39  | 
379  | Sharlene        | 2     | 8.36  | 
380  | Paule           | 3     | 9.2   | 
381  | Dorothy         | 2     | 8.47  | 
382  | Adelle          | 2     | 9.3   | 
383  | Letizia         | 4     | 9.6   | 
384  | Binny           | 4     | 9.08  | 
385  | Dari            | 1     | 7.35  | 
386  | Kassey          | 1     | 8.69  | 
387  | Ginnie          | 2     | 8.35  | 
388  | Cissiee         | 4     | 8.26  | 
389  | Ermengarde      | 1     | 9.73  | 
390  | Siana           | 1     | 9.82  | 
391  | Tera            | 4     | 8.88  | 
392  | Judy            | 4     | 9.24  | 
393  | Kate            | 2     | 9.35  | 
394  | Dennie          | 3     | 7.13  | 
395  | Elena           | 4     | 9.83  | 
396  | Cassandra       | 1     | 9.1   | 
397  | Barbi           | 2     | 8.6   | 
398  | Edee            | 3     | 9.14  | 
399  | Sean            | 2     | 7.55  | 
400  | Renie           | 4     | 7.57  | 
401  | Florie          | 1     | 9.41  | 
402  | Amara           | 3     | 9.18  | 
403  | Jerry           | 2     | 7.37  | 
404  | Aaren           | 1     | 8.54  | 
405  | Livvyy          | 4     | 8.43  | 
406  | Jenilee         | 1     | 8.86  | 
407  | Sharai          | 3     | 7.08  | 
408  | Audrie          | 3     | 9.45  | 
409  | Melodie         | 3     | 7.79  | 
410  | Winifred        | 4     | 8.05  | 
411  | Cindelyn        | 2     | 9.24  | 
412  | Hyacinthe       | 4     | 8.47  | 
413  | Brena           | 4     | 9.31  | 
414  | Roslyn          | 2     | 9.26  | 
415  | Gilda           | 3     | 9.61  | 
416  | Agathe          | 1     | 8.87  | 
417  | Gavrielle       | 3     | 8.57  | 
418  | Robbi           | 2     | 9.74  | 
419  | Almeta          | 2     | 8.05  | 
420  | Cacilie         | 4     | 7.47  | 
421  | Aimil           | 1     | 7.71  | 
422  | Dorthy          | 1     | 8.72  | 
423  | Dagmar          | 2     | 7.29  | 
424  | Mamie           | 2     | 9.25  | 
425  | Therine         | 3     | 7.85  | 
426  | Shannah         | 1     | 9.54  | 
427  | Kelly           | 4     | 9.06  | 
428  | Alia            | 4     | 7.68  | 
429  | Lila            | 1     | 7.46  | 
430  | Gilda           | 1     | 8.85  | 
431  | Jsandye         | 4     | 7.79  | 
432  | Lindie          | 1     | 9.03  | 
433  | Paule           | 2     | 9.17  | 
434  | Jackie          | 3     | 8.19  | 
435  | Yolane          | 1     | 7.49  | 
436  | Rosaline        | 4     | 7.02  | 
437  | Alejandra       | 4     | 8.54  | 
438  | Jany            | 1     | 9.33  | 
439  | Hermione        | 3     | 8.06  | 
440  | Cecile          | 3     | 7.51  | 
441  | Leeanne         | 2     | 8.19  | 
442  | Tera            | 1     | 8.58  | 
443  | Chere           | 2     | 9.85  | 
444  | Jordan          | 2     | 7.4   | 
445  | Daphne          | 2     | 9.01  | 
446  | Mara            | 3     | 8.82  | 
447  | Demetris        | 3     | 9.11  | 
448  | Goldie          | 2     | 7.2   | 
449  | Dotty           | 2     | 7.67  | 
450  | Madelle         | 4     | 8.22  | 
451  | Ilse            | 1     | 9.07  | 
452  | Nita            | 4     | 7.29  | 
453  | Anestassia      | 2     | 9.68  | 
454  | Nataline        | 2     | 9.52  | 
455  | Emma            | 2     | 7.56  | 
456  | Aryn            | 1     | 8.06  | 
457  | Cristine        | 2     | 8.98  | 
458  | Nicoli          | 3     | 9.77  | 
459  | Sharlene        | 1     | 9.01  | 
460  | Kimmy           | 4     | 8.62  | 
461  | Jasmina         | 1     | 9.92  | 
462  | Cyndie          | 2     | 8.62  | 
463  | Imojean         | 1     | 7.86  | 
464  | Millie          | 4     | 8.13  | 
465  | Ann-Marie       | 4     | 9.19  | 
466  | Jolyn           | 4     | 7.72  | 
467  | Hollie          | 2     | 7.78  | 
468  | Jackie          | 4     | 7.7   | 
469  | Laure           | 1     | 9.44  | 
470  | Anica           | 2     | 9.75  | 
471  | Mady            | 4     | 8.46  | 
472  | Dari            | 4     | 9.93  | 
473  | Candi           | 4     | 7.7   | 
474  | Verla           | 3     | 7.69  | 
475  | Netty           | 3     | 8.87  | 
476  | Kirstin         | 1     | 9.96  | 
477  | Barbi           | 3     | 7.62  | 
478  | Babita          | 3     | 7.02  | 
479  | Carilyn         | 2     | 8     | 
480  | Valera          | 4     | 9.64  | 
481  | Kimberley       | 4     | 8.93  | 
482  | Charlena        | 4     | 9.1   | 
483  | Edith           | 2     | 9.08  | 
484  | Jere            | 2     | 8.68  | 
485  | Aili            | 4     | 7.24  | 
486  | Carly           | 2     | 8.89  | 
487  | Di              | 4     | 8.71  | 
488  | Chloris         | 1     | 7.35  | 
489  | Elise           | 2     | 9.99  | 
490  | Chastity        | 1     | 8.37  | 
491  | Antonietta      | 2     | 8.27  | 
492  | Concettina      | 1     | 9.04  | 
493  | Lisette         | 3     | 7.54  | 
494  | Zsa Zsa         | 3     | 9.24  | 
495  | Zia             | 1     | 7.92  | 
496  | Nelle           | 4     | 8.15  | 
497  | Jacenta         | 4     | 8.99  | 
498  | Rochette        | 3     | 7.24  | 
499  | Deane           | 4     | 8.04  | 
500  | Marita          | 3     | 9.5   | 
501  | Leontine        | 4     | 8.15  | 
502  | Adele           | 4     | 8.83  | 
503  | Marline         | 1     | 7.53  | 
504  | Tressa          | 2     | 9.49  | 
505  | Tiffie          | 3     | 8.86  | 
506  | Ivett           | 1     | 8.05  | 
507  | Brynna          | 3     | 7.15  | 
508  | Krystle         | 4     | 9.67  | 
509  | Bertine         | 3     | 7.45  | 
510  | Charissa        | 1     | 9.1   | 
511  | Krystle         | 1     | 8.52  | 
512  | Helsa           | 2     | 9.01  | 
513  | Emma            | 2     | 8.67  | 
514  | Feliza          | 3     | 9.3   | 
515  | Dorice          | 1     | 7.31  | 
516  | Letizia         | 1     | 9.84  | 
517  | Gale            | 3     | 8.24  | 
518  | Damaris         | 3     | 8.29  | 
519  | Ileana          | 4     | 9.34  | 
520  | Hayley          | 1     | 8.19  | 
521  | Rosene          | 1     | 8.9   | 
522  | Angelique       | 2     | 8.12  | 
523  | Candy           | 3     | 8.6   | 
524  | Glynnis         | 1     | 7.68  | 
525  | Julieta         | 1     | 8.75  | 
526  | Gabi            | 2     | 8.27  | 
527  | Dagmar          | 2     | 7.9   | 
528  | June            | 4     | 9.96  | 
529  | Ada             | 2     | 9.74  | 
530  | Zaria           | 2     | 9.26  | 
531  | Kelly           | 1     | 8     | 
532  | Gerianna        | 4     | 7.09  | 
533  | Cordi           | 4     | 8.25  | 
534  | Ingrid          | 2     | 9.3   | 
535  | Ebonee          | 2     | 9.53  | 
536  | Annabela        | 2     | 8.83  | 
537  | Brandise        | 2     | 7.89  | 
538  | Alex            | 2     | 9.43  | 
539  | Bettine         | 1     | 9.42  | 
540  | Gale            | 4     | 7.03  | 
541  | Jobi            | 1     | 9.18  | 
542  | Kristan         | 3     | 8.4   | 
543  | Paulita         | 2     | 8.29  | 
544  | Julieta         | 4     | 9.58  | 
545  | Janeczka        | 1     | 8.5   | 
546  | Ivett           | 3     | 7.69  | 
547  | Shirlee         | 4     | 9.59  | 
548  | Zondra          | 4     | 9.32  | 
549  | Jenda           | 1     | 8.35  | 
550  | Meghann         | 4     | 9.77  | 
551  | Jackie          | 4     | 7.13  | 
552  | Catrina         | 3     | 8.07  | 
553  | Luci            | 1     | 8.42  | 
554  | Hollie          | 1     | 7.56  | 
555  | Blinni          | 1     | 7.88  | 
556  | Goldie          | 3     | 7.86  | 
557  | Lulita          | 1     | 8.67  | 
558  | Clary           | 2     | 9.98  | 
559  | Clo             | 2     | 9.59  | 
560  | Myrtice         | 1     | 9.51  | 
561  | Jerry           | 1     | 9.18  | 
562  | Wynne           | 4     | 8.26  | 
563  | Joeann          | 2     | 7.3   | 
564  | Sibella         | 1     | 9.54  | 
565  | Fanchon         | 4     | 8.05  | 
566  | Romona          | 1     | 8.11  | 
567  | Trudie          | 3     | 7.99  | 
568  | Nerta           | 3     | 8.14  | 
569  | Lyssa           | 3     | 8.3   | 
570  | Yolane          | 3     | 7.43  | 
571  | Tomasina        | 1     | 9.85  | 
572  | Adelle          | 3     | 9.11  | 
573  | Asia            | 1     | 9.8   | 
574  | Maud            | 1     | 8.72  | 
575  | Myriam          | 1     | 7.61  | 
576  | Willetta        | 1     | 8.86  | 
577  | Imojean         | 3     | 8.82  | 
578  | Tomasina        | 3     | 7.02  | 
579  | Ebonee          | 1     | 7.74  | 
580  | Leona           | 3     | 9.34  | 
581  | Shaylyn         | 1     | 9.08  | 
582  | Kary            | 2     | 7.53  | 
583  | Jillayne        | 4     | 8.26  | 
584  | Jorry           | 1     | 9.47  | 
585  | Jillayne        | 3     | 7.47  | 
586  | Ida             | 4     | 8.41  | 
587  | Pollyanna       | 2     | 8.71  | 
588  | Devina          | 2     | 7.15  | 
589  | Dulcinea        | 3     | 7.5   | 
590  | Phylis          | 3     | 7.85  | 
591  | Gilligan        | 1     | 7.74  | 
592  | Ofilia          | 4     | 9.61  | 
593  | Rivalee         | 3     | 7.46  | 
594  | Mureil          | 4     | 9.78  | 
595  | Tybie           | 3     | 7.86  | 
596  | Pamella         | 3     | 7.08  | 
597  | Glynnis         | 4     | 8.82  | 
598  | Jessamyn        | 3     | 7.93  | 
599  | Ardeen          | 2     | 8.3   | 
600  | Justinn         | 1     | 8.89  | 
601  | Elmira          | 4     | 9.15  | 
602  | Eve             | 2     | 8.95  | 
603  | Collen          | 4     | 9.09  | 
604  | Gratia          | 2     | 7.01  | 
605  | Gloria          | 4     | 7.38  | 
606  | Gilda           | 2     | 9.25  | 
607  | Tarra           | 3     | 8.34  | 
608  | Cam             | 1     | 7.71  | 
609  | Roslyn          | 1     | 9.02  | 
610  | Lacie           | 3     | 7.3   | 
611  | Dari            | 2     | 8.52  | 
612  | Ernesta         | 3     | 8.07  | 
613  | Sam             | 2     | 8.69  | 
614  | Maye            | 4     | 7.88  | 
615  | Blake           | 3     | 7.47  | 
616  | Chere           | 4     | 9.07  | 
617  | Maryellen       | 4     | 8.25  | 
618  | Cathyleen       | 2     | 9.67  | 
619  | Anestassia      | 2     | 9.11  | 
620  | Jenilee         | 2     | 7.14  | 
621  | Alyda           | 2     | 7.47  | 
622  | Henriette       | 1     | 8.38  | 
623  | Ida             | 4     | 7.54  | 
624  | Angela          | 4     | 8.94  | 
625  | Blinni          | 3     | 7.93  | 
626  | Zaria           | 4     | 8.08  | 
627  | Kristan         | 1     | 7.13  | 
628  | Melina          | 1     | 9.61  | 
629  | Felice          | 3     | 8.23  | 
630  | Lynnea          | 2     | 8.97  | 
631  | Reeba           | 1     | 8.13  | 
632  | Joy             | 2     | 8.16  | 
633  | Florie          | 4     | 9.25  | 
634  | Dorene          | 1     | 8.57  | 
635  | Madalyn         | 1     | 8.91  | 
636  | Codie           | 2     | 8.37  | 
637  | Mildrid         | 3     | 7.85  | 
638  | Tiffie          | 1     | 9.12  | 
639  | Dede            | 2     | 9.67  | 
640  | Queenie         | 4     | 7.55  | 
641  | Mady            | 3     | 9.79  | 
642  | Corly           | 4     | 9.61  | 
643  | Dione           | 2     | 8.93  | 
644  | Carmencita      | 4     | 7.96  | 
645  | Evaleen         | 2     | 9.09  | 
646  | Nyssa           | 2     | 7.11  | 
647  | Aili            | 1     | 8.65  | 
648  | Dorene          | 3     | 9.61  | 
649  | Codie           | 4     | 9.15  | 
650  | Bobbi           | 3     | 7.92  | 
651  | Nataline        | 2     | 9.84  | 
652  | Paulita         | 4     | 7.22  | 
653  | Nicoli          | 1     | 9.61  | 
654  | Zia             | 2     | 7.36  | 
655  | Lucille         | 2     | 7.57  | 
656  | Paola           | 4     | 9.7   | 
657  | Gratia          | 4     | 9.85  | 
658  | Hyacinthe       | 2     | 8.45  | 
659  | Nadine          | 4     | 9.73  | 
660  | Robbi           | 1     | 8.85  | 
661  | Elise           | 1     | 7.49  | 
662  | Tiffie          | 1     | 9.1   | 
663  | Anestassia      | 4     | 7.16  | 
