Pradiniai duomenys:
#    | Name            | Year  | Grade | Hash
---------------------------------------------------------------------------------------------------------
122  | Aldis           | 2     | 8.39  | 
123  | Willy           | 4     | 6.87  | 
124  | Katrine         | 1     | 8.23  | 
125  | Brod            | 2     | 6.66  | 
126  | Filmore         | 3     | 6.19  | 
127  | Joseito         | 1     | 7.07  | 
128  | Jeanette        | 1     | 7.97  | 
129  | Reese           | 3     | 5.68  | 
130  | Jere            | 2     | 8.84  | 
131  | Hoebart         | 3     | 4.91  | 
132  | Kiley           | 2     | 6.6   | 
133  | Dominique       | 3     | 8.7   | 
134  | Richart         | 1     | 8.07  | 
135  | Gwendolen       | 4     | 5.38  | 
136  | Christiana      | 4     | 7.83  | 
137  | Rabbi           | 3     | 7.52  | 
138  | Caprice         | 2     | 6.91  | 
139  | Obidiah         | 4     | 7.85  | 
140  | Hallie          | 2     | 7.04  | 
141  | Purcell         | 2     | 6.42  | 
142  | Sherwood        | 1     | 6.01  | 
143  | Misti           | 2     | 7.64  | 
144  | Cloris          | 1     | 9.37  | 
145  | Silvana         | 1     | 6.2   | 
146  | Gil             | 2     | 7.67  | 
147  | Alvera          | 3     | 9.35  | 
148  | Fayth           | 3     | 5.07  | 
149  | Hall            | 1     | 8.57  | 
150  | Lockwood        | 4     | 5.8   | 
151  | Gillian         | 2     | 5.07  | 
152  | Mabel           | 3     | 9.16  | 
153  | Jillayne        | 4     | 5.78  | 
154  | Eduardo         | 3     | 6.42  | 
155  | Harli           | 3     | 7.57  | 
156  | Brynne          | 1     | 9.61  | 
157  | Frasier         | 1     | 5.96  | 
158  | Hillery         | 4     | 9.76  | 
159  | Madella         | 2     | 5.26  | 
160  | Dave            | 4     | 6.06  | 
161  | Suzanna         | 1     | 9.31  | 
162  | Melantha        | 2     | 6     | 
163  | Adrea           | 3     | 4.92  | 
164  | Dag             | 4     | 6.33  | 
165  | Frasier         | 4     | 6.68  | 
166  | Oralia          | 2     | 7.34  | 
167  | Morse           | 3     | 5.38  | 
168  | Kenon           | 1     | 6.11  | 
169  | Helaine         | 2     | 7.03  | 
170  | Dilan           | 1     | 5.23  | 
171  | Gauthier        | 3     | 8.6   | 
172  | Haydon          | 2     | 6.03  | 
173  | Tally           | 4     | 6     | 
174  | Wittie          | 1     | 6.19  | 
175  | Hayes           | 2     | 6.14  | 
176  | Dottie          | 3     | 8.8   | 
177  | Salvidor        | 1     | 8.44  | 
178  | Errol           | 4     | 9.63  | 
179  | Gabbie          | 3     | 6     | 
180  | Abigail         | 2     | 5.81  | 
181  | Patten          | 3     | 8.23  | 
182  | Annalise        | 4     | 8.56  | 
183  | Karina          | 4     | 8.56  | 
184  | Atlante         | 2     | 5.58  | 
185  | Abbie           | 4     | 9.98  | 
186  | Giana           | 4     | 5.36  | 
187  | Livvy           | 2     | 6.23  | 
188  | Griz            | 1     | 9.82  | 
189  | Teressa         | 1     | 5.15  | 
190  | Delila          | 1     | 5.17  | 
191  | Sophi           | 3     | 7.94  | 
192  | Bartholemy      | 4     | 7.23  | 
193  | Nealon          | 3     | 9.25  | 
194  | Collin          | 2     | 6.78  | 
195  | Ryun            | 4     | 4.83  | 
196  | Webster         | 3     | 4.66  | 
197  | Tris            | 3     | 6.46  | 
198  | Dasha           | 1     | 8.62  | 
199  | Alard           | 4     | 8.4   | 
200  | Darrick         | 3     | 5.65  | 
201  | Darryl          | 4     | 7.38  | 
202  | Ase             | 3     | 9.51  | 
203  | Kathryne        | 1     | 9.34  | 
204  | Ossie           | 2     | 7.49  | 
205  | Lenore          | 1     | 4.84  | 
206  | Giulietta       | 4     | 9.11  | 
207  | Sybila          | 3     | 4.58  | 
208  | Emery           | 3     | 8.47  | 
209  | Franklin        | 1     | 5.27  | 
210  | Kissee          | 3     | 7.93  | 
211  | Shepard         | 2     | 6.88  | 
212  | Dorotea         | 3     | 9.27  | 
213  | Benson          | 2     | 4.72  | 
214  | Dori            | 4     | 8.85  | 
215  | Amil            | 2     | 6.82  | 
216  | Rhea            | 4     | 5.2   | 
217  | Rheta           | 1     | 9.14  | 
218  | Gallard         | 4     | 5.64  | 
219  | Asia            | 4     | 9.88  | 
220  | Itch            | 1     | 9.04  | 
221  | Neale           | 3     | 8.03  | 
222  | Reggie          | 2     | 8.98  | 
223  | Jessalin        | 1     | 7.28  | 
224  | Lisette         | 1     | 7.14  | 
225  | Sloane          | 3     | 9.49  | 
226  | Tabina          | 2     | 7.65  | 
227  | Gianna          | 1     | 4.99  | 
228  | Mark            | 3     | 6.28  | 
229  | Ivor            | 2     | 8.82  | 
230  | Moina           | 1     | 4.8   | 
231  | Bart            | 3     | 6.72  | 
232  | Shayla          | 1     | 7.04  | 
233  | Donnie          | 1     | 7.38  | 
234  | Pietro          | 2     | 6.68  | 
235  | Consuelo        | 3     | 6.91  | 
236  | Johna           | 4     | 5.44  | 
237  | Dyann           | 3     | 7.2   | 
238  | Edita           | 4     | 6.44  | 
239  | Quincy          | 1     | 7.54  | 
240  | Kimmi           | 4     | 6.94  | 
241  | Phyllys         | 3     | 5.74  | 
242  | Randee          | 3     | 4.74  | 
243  | Quintus         | 2     | 6.28  | 
244  | Dolly           | 3     | 5.45  | 
245  | Marga           | 3     | 7.91  | 
246  | Garvin          | 1     | 7.79  | 
247  | Aurore          | 3     | 5.52  | 
248  | Adrien          | 4     | 8.68  | 
249  | Gaylene         | 2     | 6.84  | 
250  | Fred            | 1     | 9.68  | 
251  | Clarie          | 4     | 8.45  | 
252  | Pyotr           | 4     | 6.1   | 
253  | Robinia         | 3     | 6.37  | 
254  | Ursuline        | 2     | 8.6   | 
255  | Blair           | 4     | 7.4   | 
256  | Sharron         | 2     | 9.43  | 
257  | Joel            | 2     | 6.96  | 
258  | Tobe            | 3     | 5.37  | 
259  | Livia           | 2     | 9.22  | 
260  | Diane           | 2     | 7.28  | 
261  | Tibold          | 1     | 9.78  | 
262  | Rosemonde       | 2     | 8.75  | 
263  | Cort            | 1     | 6.9   | 
264  | Artie           | 1     | 7.93  | 
265  | Zarla           | 3     | 7.97  | 
266  | Hendrik         | 3     | 6.36  | 
267  | Rube            | 2     | 9.23  | 
268  | Tony            | 3     | 9.28  | 
269  | Guenevere       | 1     | 8.86  | 
270  | Karola          | 4     | 5.31  | 
271  | Fulvia          | 3     | 9.24  | 
272  | Gretal          | 3     | 9.02  | 
273  | Rollins         | 2     | 5.17  | 
274  | Curran          | 3     | 7.8   | 
275  | Chariot         | 1     | 6.73  | 
276  | Beilul          | 1     | 8.49  | 
277  | Carree          | 2     | 8.35  | 
278  | Tris            | 1     | 8.16  | 
279  | Sandra          | 4     | 8.37  | 
280  | Audrie          | 2     | 5.56  | 
281  | Marten          | 3     | 4.99  | 
282  | Pavla           | 4     | 5.51  | 
283  | Barbey          | 1     | 9.09  | 
284  | Bruno           | 3     | 6.13  | 
285  | Ode             | 3     | 7.02  | 
286  | Horatia         | 4     | 4.93  | 
287  | Jodi            | 3     | 8.53  | 
288  | Tawsha          | 3     | 5.27  | 
289  | Morris          | 2     | 7.32  | 
290  | Caroline        | 1     | 8.55  | 
291  | Drusi           | 3     | 7.57  | 
292  | Ralph           | 1     | 6.59  | 
293  | Brade           | 4     | 6.48  | 
294  | Nehemiah        | 1     | 8.33  | 
295  | Fredrika        | 1     | 9.68  | 
296  | Gwenette        | 2     | 6.06  | 
297  | Dorey           | 3     | 6.83  | 
298  | Johann          | 2     | 4.63  | 
299  | Marlowe         | 3     | 9.64  | 
300  | Zorah           | 3     | 5.71  | 
301  | Ashbey          | 1     | 5.43  | 
302  | Bertie          | 1     | 6.78  | 
303  | Hyacinthia      | 1     | 5.22  | 
304  | Fin             | 4     | 8.21  | 
305  | Tommie          | 1     | 9.9   | 
306  | Rex             | 2     | 5.05  | 
307  | Lefty           | 4     | 9.14  | 
308  | Sherrie         | 3     | 6.67  | 
309  | Yuri            | 1     | 6.99  | 
310  | Amara           | 4     | 5.51  | 
311  | Onofredo        | 4     | 4.59  | 
312  | Karel           | 2     | 6.5   | 
313  | Kara            | 3     | 6.43  | 
314  | Vance           | 2     | 7.15  | 
315  | Loralyn         | 3     | 9.63  | 
316  | Cord            | 4     | 5.88  | 
317  | Cazzie          | 1     | 5.75  | 
318  | Diarmid         | 3     | 7.23  | 
319  | Thor            | 3     | 9.91  | 
320  | Gussie          | 1     | 4.62  | 
321  | Rosie           | 3     | 9.34  | 
322  | Madelle         | 3     | 6.38  | 
323  | Lorant          | 3     | 6.96  | 
324  | Nevins          | 1     | 9.95  | 
325  | Danila          | 3     | 7.33  | 
326  | George          | 1     | 8.29  | 
327  | Kathy           | 4     | 9.92  | 
328  | Lyda            | 2     | 5.1   | 
329  | Man             | 2     | 7.21  | 
330  | Maximilien      | 1     | 4.94  | 
331  | Layney          | 1     | 5.48  | 
332  | Bertrand        | 1     | 9.72  | 
333  | Godfry          | 1     | 7.64  | 
334  | Josy            | 1     | 9.84  | 
335  | Essa            | 2     | 7.42  | 
336  | Wayne           | 4     | 6.07  | 
337  | Agnes           | 1     | 6.94  | 
338  | Bertie          | 4     | 7.84  | 
339  | Sonia           | 3     | 9.45  | 
340  | Brigid          | 4     | 4.7   | 
341  | Merla           | 4     | 8.33  | 
342  | Erroll          | 2     | 8.38  | 
343  | Gregoor         | 3     | 8.69  | 
344  | Howie           | 4     | 4.95  | 
345  | Yulma           | 1     | 7.35  | 
346  | Marwin          | 1     | 5.65  | 
347  | Mil             | 2     | 9.35  | 
348  | Ches            | 1     | 8.86  | 
349  | Nehemiah        | 1     | 6.04  | 
350  | Kelley          | 3     | 6.39  | 
351  | Wallache        | 1     | 9.03  | 
352  | Morna           | 4     | 5.75  | 
353  | Torrence        | 4     | 5.32  | 
354  | Ives            | 1     | 9.64  | 
355  | Frannie         | 1     | 4.72  | 
356  | Clemmie         | 4     | 5.08  | 
357  | Dill            | 3     | 9.86  | 
358  | Ferguson        | 4     | 5.36  | 
359  | James           | 2     | 7.61  | 
360  | Geordie         | 1     | 8.13  | 
361  | Des             | 1     | 7.61  | 
362  | Hayes           | 4     | 4.61  | 
363  | Bertie          | 4     | 7.26  | 
364  | Frederigo       | 4     | 6.5   | 
365  | Ade             | 2     | 8.31  | 
366  | Anallese        | 1     | 9.38  | 
367  | Barrie          | 4     | 8.93  | 
368  | Elana           | 1     | 5.18  | 
369  | Dacia           | 1     | 8.6   | 
370  | Clarabelle      | 1     | 5.89  | 
371  | Milka           | 3     | 7.27  | 
372  | Anthiathia      | 3     | 8.28  | 
373  | Emlynne         | 2     | 8.63  | 
374  | Paul            | 3     | 9.73  | 
375  | Rhett           | 1     | 7.47  | 
376  | Emelen          | 4     | 7.8   | 
377  | Elinor          | 2     | 5.61  | 
378  | Skip            | 2     | 9.1   | 
379  | Nicolis         | 2     | 7.15  | 
380  | Kasper          | 3     | 5.26  | 
381  | Hasheem         | 4     | 4.76  | 
382  | Silvana         | 4     | 9.17  | 
383  | Jennie          | 4     | 6.48  | 
384  | Annabell        | 1     | 9.97  | 
385  | Xaviera         | 1     | 5.29  | 
386  | Calley          | 4     | 5.68  | 
387  | Benjamen        | 4     | 4.78  | 
388  | Duffy           | 3     | 7.1   | 
389  | Nels            | 2     | 8.98  | 
390  | Josy            | 4     | 4.92  | 
391  | Christoper      | 1     | 6.12  | 
392  | Anitra          | 3     | 9.32  | 
393  | August          | 2     | 8.03  | 
394  | Laurens         | 4     | 7.08  | 
395  | Annmaria        | 2     | 5.7   | 
396  | Octavius        | 4     | 6.32  | 
397  | Eadmund         | 1     | 8.2   | 
398  | Adolphus        | 4     | 5.7   | 
399  | Cole            | 1     | 9.59  | 
400  | Clemens         | 2     | 8.81  | 
401  | Klaus           | 1     | 7.24  | 
402  | Killy           | 4     | 8.96  | 
403  | Shelden         | 2     | 6.66  | 
404  | Zerk            | 2     | 7.21  | 
405  | Analise         | 2     | 8.87  | 
406  | Debbie          | 1     | 9.32  | 
407  | Theressa        | 3     | 7.6   | 
408  | Khalil          | 2     | 8.07  | 
409  | Braden          | 2     | 8.64  | 
410  | Pat             | 1     | 9.99  | 
411  | Frieda          | 2     | 8.87  | 
412  | Pen             | 1     | 9.41  | 
413  | Beverlie        | 1     | 7.87  | 
414  | Eddie           | 4     | 5.68  | 
415  | Brook           | 3     | 6.03  | 
416  | Daffi           | 3     | 7.34  | 
417  | Ellynn          | 4     | 5.08  | 
418  | Mata            | 1     | 7.83  | 
419  | Eberhard        | 2     | 9.79  | 
420  | Bernadene       | 4     | 5.14  | 
421  | Alard           | 3     | 9.16  | 
422  | Jenelle         | 2     | 9.13  | 
423  | Jecho           | 2     | 5.32  | 
424  | Tabb            | 1     | 6.71  | 
425  | Barnabas        | 1     | 4.99  | 
426  | Davita          | 3     | 9.55  | 
427  | Giralda         | 3     | 8.2   | 
428  | Fields          | 3     | 5.84  | 
429  | Audry           | 3     | 8.49  | 
430  | Seumas          | 2     | 5.29  | 
431  | Eolanda         | 2     | 7.93  | 
432  | Iolanthe        | 3     | 9.53  | 
433  | La verne        | 2     | 6.91  | 
434  | Skippy          | 1     | 5.07  | 
435  | Normand         | 4     | 6.84  | 
436  | Sancho          | 4     | 7.35  | 
437  | Fairleigh       | 2     | 7.72  | 
438  | Web             | 2     | 6.12  | 
439  | Brunhilde       | 1     | 8.59  | 
440  | Oswell          | 2     | 9.76  | 
441  | Josephina       | 1     | 7.97  | 
442  | Jason           | 2     | 9.88  | 
443  | Rennie          | 1     | 6.58  | 
444  | Troy            | 2     | 5.26  | 
445  | Von             | 4     | 8.2   | 
446  | Franky          | 2     | 9.13  | 
447  | Lorena          | 4     | 5.5   | 
448  | Sammie          | 3     | 5.74  | 
449  | Brnaby          | 2     | 9.78  | 
450  | Faydra          | 4     | 8.77  | 
451  | Waring          | 2     | 7.72  | 
452  | Jordain         | 2     | 5.01  | 
453  | Matti           | 3     | 9.15  | 
454  | Fina            | 2     | 5.14  | 
455  | Dickie          | 2     | 8.39  | 
456  | Simone          | 1     | 9.34  | 
457  | Forrest         | 2     | 6.94  | 
458  | Rustie          | 1     | 5.83  | 
459  | Morgen          | 3     | 7.31  | 
460  | Craggy          | 2     | 7.31  | 
461  | Gayla           | 3     | 7.05  | 
462  | Walther         | 1     | 5.78  | 
463  | Nerita          | 3     | 8.77  | 
464  | Merlina         | 2     | 8.14  | 
465  | Debee           | 3     | 4.8   | 
466  | Curran          | 1     | 6.75  | 
467  | Alix            | 2     | 5.23  | 
468  | Urbain          | 2     | 5.06  | 
469  | Edgard          | 3     | 4.84  | 
470  | Jocelyne        | 2     | 7.29  | 
471  | Allene          | 2     | 4.73  | 
472  | Inesita         | 4     | 5.37  | 
473  | Halsy           | 2     | 8.83  | 
474  | Gillian         | 3     | 5.3   | 
475  | Laurice         | 2     | 5.26  | 
476  | Dorotea         | 3     | 6.76  | 
477  | Berti           | 4     | 7.99  | 
478  | Waylin          | 1     | 8.31  | 
479  | Giraldo         | 4     | 7.55  | 
480  | Zach            | 1     | 7.63  | 
481  | Vincenty        | 1     | 5.79  | 
482  | Bobbette        | 2     | 9.53  | 
483  | Rolland         | 1     | 7.46  | 
484  | Ethelind        | 1     | 6.59  | 
485  | Wat             | 3     | 6.03  | 
486  | Curry           | 3     | 8.86  | 
487  | Teri            | 1     | 8.03  | 
488  | Dav             | 4     | 6.19  | 
489  | Walden          | 1     | 7.29  | 
490  | Blane           | 1     | 6.36  | 
491  | Horatio         | 4     | 7.72  | 
492  | Jethro          | 1     | 6.54  | 
493  | Ellene          | 1     | 6.39  | 
494  | Regen           | 4     | 9.51  | 
495  | Fallon          | 2     | 4.88  | 
496  | Aviva           | 4     | 8.73  | 
497  | Salome          | 4     | 5.87  | 
498  | Bronny          | 3     | 7.78  | 
499  | Mano            | 4     | 7.23  | 
500  | Shermie         | 2     | 9.77  | 
501  | Damita          | 1     | 5.61  | 
502  | Bartolomeo      | 1     | 9.91  | 
503  | Moll            | 4     | 5.66  | 
504  | Sigmund         | 1     | 4.66  | 
505  | Mariska         | 1     | 7.42  | 
506  | Dareen          | 4     | 9.98  | 
507  | Ransom          | 4     | 7.36  | 
508  | Maressa         | 2     | 7.34  | 
509  | Charla          | 3     | 5.33  | 
510  | Francisca       | 1     | 6.3   | 
511  | Rozanne         | 1     | 6.54  | 
512  | Keane           | 1     | 9.55  | 
513  | Foster          | 4     | 5.42  | 
514  | Ashlee          | 1     | 7.98  | 
515  | Boyd            | 3     | 7.33  | 
516  | Cristionna      | 2     | 8.52  | 
517  | Mirna           | 3     | 7.05  | 
518  | Shoshanna       | 4     | 8.67  | 
519  | Alikee          | 2     | 9.48  | 
520  | Ange            | 2     | 9.5   | 
521  | Sidonia         | 2     | 8.49  | 
522  | Allegra         | 4     | 5.3   | 
523  | Henri           | 1     | 6.77  | 
524  | Kittie          | 4     | 8.5   | 
525  | Ulrick          | 1     | 5.6   | 
526  | Marylynne       | 2     | 7.74  | 
527  | Hyacinthia      | 4     | 7.74  | 
528  | Guthrie         | 1     | 8.63  | 
529  | Kendall         | 1     | 7.05  | 
530  | Clerkclaude     | 2     | 7.94  | 
531  | Malchy          | 4     | 4.6   | 
532  | Banky           | 3     | 8.58  | 
533  | Carlita         | 2     | 6.44  | 
534  | Druci           | 1     | 9.24  | 
535  | Paten           | 3     | 4.64  | 
536  | Morgen          | 2     | 5.96  | 
537  | Gay             | 1     | 5.04  | 
538  | Hagan           | 2     | 8.77  | 
539  | Fraze           | 3     | 4.88  | 
540  | Nina            | 1     | 7.58  | 
541  | Will            | 2     | 8.27  | 
542  | Edgardo         | 3     | 5.45  | 
543  | Marcelle        | 3     | 9.02  | 
544  | Norrie          | 2     | 8.12  | 
545  | Rosmunda        | 2     | 6.83  | 
546  | Lark            | 4     | 9.91  | 
547  | Christiane      | 4     | 7.84  | 
548  | Tobye           | 4     | 6.98  | 
549  | Alasteir        | 1     | 8.85  | 
550  | Nerti           | 2     | 8.6   | 
551  | Kasper          | 1     | 9.05  | 
552  | Skyler          | 4     | 6.58  | 
553  | Shea            | 1     | 4.93  | 
554  | Giff            | 1     | 5.1   | 
555  | Reynolds        | 3     | 4.54  | 
556  | Brigitta        | 4     | 6.07  | 
557  | Paco            | 2     | 9.19  | 
558  | Hodge           | 3     | 5.11  | 
559  | Catriona        | 4     | 4.6   | 
560  | Carly           | 4     | 6.16  | 
561  | Babs            | 1     | 8.27  | 
562  | Con             | 2     | 5.34  | 
563  | Parker          | 4     | 5.49  | 
564  | Malorie         | 1     | 6.86  | 
565  | Malissa         | 3     | 6.69  | 
566  | El              | 1     | 5.99  | 
567  | Joelle          | 2     | 4.75  | 
568  | Friedrick       | 1     | 6.59  | 
569  | Eziechiele      | 3     | 6.48  | 
570  | Mickey          | 4     | 5.43  | 
571  | Cirillo         | 2     | 6.85  | 
572  | Carmita         | 3     | 4.82  | 
573  | Allayne         | 2     | 8.57  | 
574  | Moreen          | 4     | 8.59  | 
575  | Selinda         | 1     | 9.14  | 
576  | Silva           | 4     | 6.37  | 
577  | Roman           | 1     | 5.62  | 
578  | Spike           | 2     | 4.7   | 
579  | Abe             | 1     | 9.24  | 
580  | Nikolas         | 2     | 9.12  | 
581  | Tedie           | 4     | 5.99  | 
582  | Diego           | 1     | 8.15  | 
583  | Kort            | 1     | 4.65  | 
584  | Beth            | 3     | 5.29  | 
585  | Dame            | 3     | 4.64  | 
586  | Raimondo        | 1     | 7.31  | 
587  | Trev            | 4     | 7.96  | 
588  | Herbert         | 3     | 8.1   | 
589  | Ode             | 3     | 5.12  | 
590  | Ania            | 3     | 6.62  | 
591  | Greggory        | 1     | 5.39  | 
592  | Jimmy           | 2     | 9.9   | 
593  | Marlena         | 2     | 6.45  | 
594  | Yetty           | 4     | 9.15  | 
595  | Merridie        | 3     | 8.83  | 
596  | Cos             | 3     | 5.78  | 
597  | Mersey          | 3     | 8.86  | 
598  | Jakie           | 2     | 9.14  | 
599  | Mandie          | 4     | 8.38  | 
600  | Noll            | 4     | 6.23  | 
601  | Nan             | 4     | 7.7   | 
602  | Sheila          | 1     | 8.73  | 
603  | Raff            | 1     | 9.04  | 
604  | Isidora         | 3     | 9.46  | 
605  | Sabra           | 4     | 8.18  | 
606  | Cassius         | 2     | 7.86  | 
607  | Elsey           | 1     | 5.31  | 
608  | Tuck            | 1     | 7.23  | 
609  | Wylie           | 4     | 9.44  | 
610  | Tamas           | 4     | 5.6   | 
611  | Janaye          | 1     | 8.5   | 
612  | Berke           | 4     | 7.22  | 
613  | Jan             | 1     | 9.16  | 
614  | Jemima          | 2     | 7.19  | 
615  | Rhodia          | 3     | 7.19  | 
616  | Revkah          | 3     | 4.89  | 
617  | Ida             | 3     | 6.77  | 
618  | Gothart         | 1     | 5.7   | 
619  | Rahal           | 3     | 4.87  | 
620  | Fraser          | 1     | 7.5   | 
621  | Obediah         | 2     | 9.86  | 
622  | Christan        | 2     | 9.67  | 
623  | Rikki           | 3     | 8.86  | 
624  | Duncan          | 2     | 6.2   | 
625  | Ermin           | 2     | 5.21  | 
626  | Iain            | 2     | 4.8   | 
627  | Vere            | 2     | 9.07  | 
628  | Brig            | 2     | 9.77  | 
629  | Dolf            | 4     | 5.56  | 
630  | Gaultiero       | 3     | 8.17  | 
631  | Quentin         | 4     | 8.06  | 
632  | Yelena          | 1     | 9.78  | 
633  | Evey            | 3     | 8.5   | 
634  | Martino         | 4     | 8.97  | 
635  | Ethan           | 2     | 8.38  | 
636  | Archie          | 3     | 8.7   | 
637  | Archambault     | 1     | 7.7   | 
638  | Carolann        | 2     | 8.08  | 
639  | Nappy           | 1     | 5.66  | 
640  | Grant           | 2     | 5.67  | 
641  | Angelika        | 1     | 8.38  | 
642  | Lynett          | 2     | 6.14  | 
643  | Kris            | 3     | 8.72  | 
644  | Dukey           | 4     | 7.91  | 
645  | Arv             | 3     | 7.7   | 
646  | Buck            | 3     | 5.85  | 
647  | Wynn            | 3     | 9.71  | 
648  | Ulises          | 3     | 7.86  | 
649  | Maia            | 3     | 9.31  | 
650  | Margaux         | 3     | 7.17  | 
651  | Caroline        | 3     | 6.82  | 
652  | Alexandra       | 1     | 7.71  | 
653  | Winni           | 1     | 8.93  | 
654  | Barbara-anne    | 1     | 8.86  | 
655  | Britteny        | 4     | 9.86  | 
656  | Giraldo         | 4     | 8.53  | 
657  | Salomi          | 3     | 4.78  | 
658  | Nanice          | 4     | 8.73  | 
659  | Bren            | 3     | 9.64  | 
660  | Sully           | 2     | 6.53  | 
661  | Florri          | 4     | 7.75  | 
662  | Gavra           | 2     | 9.72  | 
663  | Zonnya          | 3     | 7.68  | 
664  | Nessi           | 2     | 8.99  | 
665  | Lambert         | 3     | 5.84  | 
666  | Angelique       | 1     | 8.12  | 
